 Time:12:26.219 N:5923 E:0 F:0 I:0
  TTyExPanelTest Time:00.094 N:23 E:0 F:0 I:0
  TTyGridMathTest Time:00.000 N:26 E:0 F:0 I:0
  TTyGridPanelTest Time:01.101 N:7 E:0 F:0 I:0
  TTyGridCellTest Time:00.000 N:3 E:0 F:0 I:0
  TTyRelativeSolveTest Time:00.000 N:24 E:0 F:0 I:0
  TTyRelativePanelTest Time:00.003 N:13 E:0 F:0 I:0
  TToolBarExOverflowTest Time:00.000 N:7 E:0 F:0 I:0
  TToolBarExControlTest Time:00.124 N:12 E:0 F:0 I:0
  TControlBarPackTest Time:00.000 N:8 E:0 F:0 I:0
  TControlBarControlTest Time:00.000 N:5 E:0 F:0 I:0
  TCoolBarMathTest Time:00.000 N:23 E:0 F:0 I:0
  TCoolBarControlTest Time:00.000 N:19 E:0 F:0 I:0
  TTyHeaderControlTest Time:00.110 N:21 E:0 F:0 I:0
  TTyListGroupMathTest Time:00.000 N:8 E:0 F:0 I:0
  TTyListGroupPanelTest Time:00.560 N:17 E:0 F:0 I:0
  TCheckBoxTest Time:00.451 N:16 E:0 F:0 I:0
  TCheckBoxTriStateTest Time:00.044 N:8 E:0 F:0 I:0
  TCheckBoxAutoSizeTest Time:01.274 N:12 E:0 F:0 I:0
  TCheckBoxSizeFloorTest Time:00.308 N:7 E:0 F:0 I:0
  TRadioButtonTest Time:00.141 N:8 E:0 F:0 I:0
  TTyPanelTest Time:00.016 N:9 E:0 F:0 I:0
  TTyComboBoxTest Time:01.479 N:25 E:0 F:0 I:0
  TTyScrollGeometryTest Time:00.000 N:8 E:0 F:0 I:0
  TTyScrollBarDragTest Time:00.000 N:6 E:0 F:0 I:0
  TTyScrollBarThumbColorTest Time:00.296 N:3 E:0 F:0 I:0
  TTyScrollBarMouseTest Time:00.000 N:5 E:0 F:0 I:0
  TTyScrollBarAnimationTest Time:00.000 N:4 E:0 F:0 I:0
  TTyScrollBarOnScrollTest Time:00.000 N:10 E:0 F:0 I:0
  TTyScrollBarHugeRangeTest Time:00.000 N:2 E:0 F:0 I:0
  TFormHelpersTest Time:00.000 N:11 E:0 F:0 I:0
  TResizeHitForTest Time:00.000 N:10 E:0 F:0 I:0
  TResizeGutterTest Time:00.000 N:5 E:0 F:0 I:0
  TNcHitTestTest Time:00.000 N:17 E:0 F:0 I:0
  TNcHitResolveTest Time:00.000 N:9 E:0 F:0 I:0
  TRestoreDragBoundsTest Time:00.000 N:7 E:0 F:0 I:0
  TResizeCursorTest Time:00.000 N:9 E:0 F:0 I:0
  TCaptionButtonTest Time:00.000 N:5 E:0 F:0 I:0
  TTitleBarTest Time:00.748 N:14 E:0 F:0 I:0
  TCaptionButtonPaintTest Time:00.001 N:1 E:0 F:0 I:0
  TTitleBarPaintTest Time:00.002 N:1 E:0 F:0 I:0
  TRescaleMetricTest Time:00.000 N:4 E:0 F:0 I:0
  TCaptionButtonHoverGlyphTest Time:00.293 N:3 E:0 F:0 I:0
  TTyFormTest Time:00.410 N:17 E:0 F:0 I:0
  TMaximizedChromeTest Time:00.002 N:9 E:0 F:0 I:0
  TTyFormBackdropTest Time:00.562 N:3 E:0 F:0 I:0
  TTyMenuFormTest Time:00.000 N:3 E:0 F:0 I:0
  TCaptionButtonsTest Time:00.000 N:5 E:0 F:0 I:0
  TTitleBarSwitchesTest Time:00.000 N:4 E:0 F:0 I:0
  TFormBorderStyleTest Time:00.000 N:2 E:0 F:0 I:0
  TFormDrivesBarTest Time:00.000 N:4 E:0 F:0 I:0
  TTitleBarGuardTest Time:00.000 N:2 E:0 F:0 I:0
  TRollUpTest Time:00.000 N:5 E:0 F:0 I:0
  TFormStyleOverrideTest Time:00.688 N:7 E:0 F:0 I:0
  TTitleBarDpiTest Time:00.093 N:6 E:0 F:0 I:0
  TFormSurfaceTest Time:00.016 N:1 E:0 F:0 I:0
  TTestThemes Time:03.822 N:16 E:0 F:0 I:0
  TTestThemeGolden Time:11.786 N:8 E:0 F:0 I:0
  TTyListBoxTest Time:00.222 N:26 E:0 F:0 I:0
  TTyListBoxScrollBarPropTest Time:00.089 N:2 E:0 F:0 I:0
  TListBoxHScrollTest Time:00.016 N:13 E:0 F:0 I:0
  TListBoxVariableRowTest Time:00.015 N:8 E:0 F:0 I:0
  TTyProgressBarGeometryTest Time:00.000 N:9 E:0 F:0 I:0
  TTyProgressBarControlTest Time:00.000 N:6 E:0 F:0 I:0
  TTyProgressBarPixelTest Time:00.379 N:4 E:0 F:0 I:0
  TTyProgressBarAnimationTest Time:00.000 N:3 E:0 F:0 I:0
  TTyProgressBarFocusParityTest Time:00.000 N:2 E:0 F:0 I:0
  TTyToggleSwitchTest Time:00.000 N:10 E:0 F:0 I:0
  TTyToggleSwitchAutoSizeTest Time:00.352 N:5 E:0 F:0 I:0
  TTyToggleSwitchPixelTest Time:00.586 N:6 E:0 F:0 I:0
  TTyToggleSwitchSizeFloorTest Time:00.282 N:5 E:0 F:0 I:0
  TTyTrackBarGeometryTest Time:00.000 N:5 E:0 F:0 I:0
  TTyTrackBarControlTest Time:00.101 N:14 E:0 F:0 I:0
  TTyTrackBarPixelTest Time:00.378 N:3 E:0 F:0 I:0
  TTyTrackBarAnimationTest Time:00.000 N:3 E:0 F:0 I:0
  TTyTrackBarWheelTest Time:00.000 N:4 E:0 F:0 I:0
  TTyGroupBoxTest Time:00.127 N:8 E:0 F:0 I:0
  TTabStripTest Time:00.376 N:34 E:0 F:0 I:0
  TTabAxisTest Time:06.530 N:26 E:0 F:0 I:0
  TTabMultiLineTest Time:12.052 N:21 E:0 F:0 I:0
  TBuiltinThemeTest Time:01.992 N:13 E:0 F:0 I:0
  TTySpinEditGeometryTest Time:00.000 N:3 E:0 F:0 I:0
  TTySpinEditControlTest Time:00.000 N:17 E:0 F:0 I:0
  TTySpinEditPixelTest Time:00.099 N:1 E:0 F:0 I:0
  TTySpinEditEditModelTest Time:00.000 N:6 E:0 F:0 I:0
  TTySpinEditRenderTest Time:00.009 N:2 E:0 F:0 I:0
  TTySpinEditFontSizeTest Time:00.388 N:2 E:0 F:0 I:0
  TTySpinEditCursorTest Time:00.000 N:1 E:0 F:0 I:0
  TTySpinEditPropsTest Time:00.000 N:3 E:0 F:0 I:0
  TTyMemoTest Time:08.036 N:42 E:0 F:0 I:0
  TTyMemoCursorTest Time:00.016 N:1 E:0 F:0 I:0
  TTyMemoSelectionTest Time:04.628 N:41 E:0 F:0 I:0
  TTyMemoSelectionChangeTest Time:00.465 N:4 E:0 F:0 I:0
  TTyMemoUndoTest Time:00.581 N:15 E:0 F:0 I:0
  TFloatSpinEditTest Time:00.564 N:26 E:0 F:0 I:0
  TTyMemoPropsTest Time:00.717 N:5 E:0 F:0 I:0
  TTyMemoVisualRowsTest Time:03.392 N:14 E:0 F:0 I:0
  TTyMemoHScrollTest Time:01.296 N:6 E:0 F:0 I:0
  TTyMemoWrapTest Time:01.911 N:6 E:0 F:0 I:0
  TTyMemoWrapNavTest Time:01.017 N:7 E:0 F:0 I:0
  TMemoBidiTest Time:05.341 N:28 E:0 F:0 I:0
  TTyAnimationCoreTest Time:00.000 N:16 E:0 F:0 I:0
  TTyToggleKnobXTest Time:00.000 N:5 E:0 F:0 I:0
  TTyToggleKnobAnimTest Time:00.413 N:5 E:0 F:0 I:0
  TTyButtonBgFadeTest Time:00.453 N:5 E:0 F:0 I:0
  TTyUndoStackTest Time:00.000 N:10 E:0 F:0 I:0
  TThemeRegistryTest Time:00.584 N:12 E:0 F:0 I:0
  TThemeBundleTest Time:00.476 N:12 E:0 F:0 I:0
  TSystemThemeTest Time:00.623 N:8 E:0 F:0 I:0
  TThemeLintTest Time:00.116 N:19 E:0 F:0 I:0
  TMenuModelTest Time:00.000 N:7 E:0 F:0 I:0
  TMenuViewTest Time:00.000 N:5 E:0 F:0 I:0
  TMenuPopupTest Time:00.000 N:3 E:0 F:0 I:0
  TMenuBarTest Time:00.043 N:2 E:0 F:0 I:0
  TPopupMenuTest Time:00.000 N:1 E:0 F:0 I:0
  TThemeRegistryCssTest Time:00.000 N:3 E:0 F:0 I:0
  TBuiltinSyncTest Time:00.000 N:2 E:0 F:0 I:0
  TBuiltinThemesTest Time:06.393 N:5 E:0 F:0 I:0
  TControllerThemeNameTest Time:04.602 N:7 E:0 F:0 I:0
  TBuiltinSkinsSyncTest Time:00.000 N:2 E:0 F:0 I:0
  TModeCoherenceTest Time:01.487 N:2 E:0 F:0 I:0
  TPaletteIconTest Time:00.091 N:3 E:0 F:0 I:0
  TTabSheetTest Time:00.000 N:3 E:0 F:0 I:0
  TPageControlTest Time:00.210 N:10 E:0 F:0 I:0
  TPageControlStreamingTest Time:00.057 N:1 E:0 F:0 I:0
  TVersionTest Time:01.102 N:6 E:0 F:0 I:0
  TWindowEffectsTest Time:00.627 N:11 E:0 F:0 I:0
  TAccelTest Time:00.000 N:2 E:0 F:0 I:0
  TI18NTest Time:00.063 N:6 E:0 F:0 I:0
  TPaintCacheTest Time:00.000 N:6 E:0 F:0 I:0
  TMemoLinesAddTest Time:00.047 N:3 E:0 F:0 I:0
  TParityTest Time:00.443 N:64 E:0 F:0 I:0
  TValueListParityTest Time:00.015 N:8 E:0 F:0 I:0
  TValueListViewportMetricTest Time:00.000 N:4 E:0 F:0 I:0
  TValueListRowApiTest Time:00.000 N:3 E:0 F:0 I:0
  TValueListKeyOptionsTest Time:00.103 N:23 E:0 F:0 I:0
  TSplitterDeferredTest Time:00.015 N:6 E:0 F:0 I:0
  TSplitterBandTest Time:00.000 N:11 E:0 F:0 I:0
  TSplitterBandPixelTest Time:00.209 N:2 E:0 F:0 I:0
  TSplitterResizeAnchorRefusalTest Time:00.000 N:1 E:0 F:0 I:0
  TListViewChangeParityTest Time:00.016 N:9 E:0 F:0 I:0
  TListViewSelectItemParityTest Time:00.000 N:8 E:0 F:0 I:0
  TTyMemoParityTest Time:01.391 N:9 E:0 F:0 I:0
  TTyMemoRound3Test Time:00.328 N:6 E:0 F:0 I:0
  TToolBarImagesParityTest Time:00.016 N:7 E:0 F:0 I:0
  TToolBarShowCaptionsParityTest Time:00.031 N:6 E:0 F:0 I:0
  TToolButtonApiParityTest Time:00.016 N:10 E:0 F:0 I:0
  TToolBarMembersApiParityTest Time:00.000 N:6 E:0 F:0 I:0
  TGlyphButtonCaptionPaintTest Time:00.467 N:3 E:0 F:0 I:0
  TMaskParityTest Time:00.272 N:11 E:0 F:0 I:0
  TShellRefreshParityTest Time:00.378 N:11 E:0 F:0 I:0
  TDividerIndentParityTest Time:00.204 N:7 E:0 F:0 I:0
  TGridViewportMetricTest Time:00.539 N:4 E:0 F:0 I:0
  TGridSelectionWritableTest Time:00.452 N:4 E:0 F:0 I:0
  TGridStructuralClearTest Time:00.961 N:6 E:0 F:0 I:0
  TGridStateStreamTest Time:00.766 N:6 E:0 F:0 I:0
  TGridCsvTitlesTest Time:00.468 N:3 E:0 F:0 I:0
  TGridLineStyleDivergenceTest Time:00.000 N:1 E:0 F:0 I:0
  TCalendarRangeTest Time:00.000 N:13 E:0 F:0 I:0
  TCalendarStreamingTest Time:00.000 N:2 E:0 F:0 I:0
  TCheckGroupRangeTest Time:00.160 N:8 E:0 F:0 I:0
  TTabHeightSentinelTest Time:01.902 N:8 E:0 F:0 I:0
  TMenuGlyphShowModeTest Time:00.384 N:4 E:0 F:0 I:0
  TMenuSubMenuImagesTest Time:00.627 N:6 E:0 F:0 I:0
  TMenuTrackButtonTest Time:00.278 N:3 E:0 F:0 I:0
  TMenuOwnerDrawTest Time:01.247 N:12 E:0 F:0 I:0
  THeaderSectionEventParityTest Time:00.012 N:7 E:0 F:0 I:0
  TColumnHeaderIconParityTest Time:00.907 N:6 E:0 F:0 I:0
  TOnPaintParityTest Time:00.047 N:6 E:0 F:0 I:0
  TSpinChangeParityTest Time:00.000 N:7 E:0 F:0 I:0
  TCheckComboDataParityTest Time:00.000 N:7 E:0 F:0 I:0
  TChangeListenerTest Time:00.188 N:2 E:0 F:0 I:0
  TNativeStylerTest Time:00.542 N:6 E:0 F:0 I:0
  TSplitterGeomTest Time:00.000 N:2 E:0 F:0 I:0
  TSplitterControlTest Time:00.000 N:1 E:0 F:0 I:0
  TSplitterPixelTest Time:00.111 N:1 E:0 F:0 I:0
  TStatusBarGeomTest Time:00.000 N:5 E:0 F:0 I:0
  TStatusBarPixelTest Time:00.101 N:1 E:0 F:0 I:0
  TToolBarGeomTest Time:00.000 N:2 E:0 F:0 I:0
  TToolBarBreakTest Time:00.016 N:7 E:0 F:0 I:0
  TToolBarControlTest Time:00.015 N:1 E:0 F:0 I:0
  TToolFloorWidthTest Time:00.000 N:3 E:0 F:0 I:0
  TToolBarMembersTest Time:00.359 N:14 E:0 F:0 I:0
  TToolBarPixelTest Time:00.121 N:1 E:0 F:0 I:0
  TToolGroupBoundsTest Time:00.000 N:8 E:0 F:0 I:0
  TToolWrapShiftTest Time:00.000 N:4 E:0 F:0 I:0
  TToolButtonTest Time:00.705 N:28 E:0 F:0 I:0
  TToolButtonSeparatorPixelTest Time:00.232 N:2 E:0 F:0 I:0
  TToolBarPaintButtonTest Time:00.151 N:9 E:0 F:0 I:0
  TLiteTrioEventsTest Time:00.000 N:3 E:0 F:0 I:0
  TDateTimeEventsTest Time:00.000 N:2 E:0 F:0 I:0
  TPopupGeomTest Time:00.000 N:2 E:0 F:0 I:0
  TPopupSmokeTest Time:00.007 N:3 E:0 F:0 I:0
  TCalendarGeomTest Time:00.001 N:31 E:0 F:0 I:0
  TCalendarControlTest Time:00.060 N:17 E:0 F:0 I:0
  TCalendarPixelTest Time:00.341 N:1 E:0 F:0 I:0
  TCalendarZoomTest Time:00.000 N:10 E:0 F:0 I:0
  TCalendarDrillDownTest Time:00.151 N:9 E:0 F:0 I:0
  TCalendarNameSourceTest Time:01.636 N:10 E:0 F:0 I:0
  TDateTimePickerPureTest Time:00.000 N:32 E:0 F:0 I:0
  TDateTimeNullTest Time:00.047 N:25 E:0 F:0 I:0
  TDateTimeLayoutTest Time:00.254 N:8 E:0 F:0 I:0
  TDateTimeActiveSegAtTest Time:00.000 N:6 E:0 F:0 I:0
  TDateTimePickerControlTest Time:00.000 N:15 E:0 F:0 I:0
  TDateTimePickerPixelTest Time:00.325 N:3 E:0 F:0 I:0
  TDateTimePickerC3Test Time:00.000 N:10 E:0 F:0 I:0
  TDateTimePickerNameSourceTest Time:00.031 N:3 E:0 F:0 I:0
  TTreeViewEventsTest Time:00.000 N:1 E:0 F:0 I:0
  TTreeStoreTest Time:00.000 N:5 E:0 F:0 I:0
  TTreeAggTest Time:01.428 N:13 E:0 F:0 I:0
  TTreeDeleteTest Time:00.000 N:14 E:0 F:0 I:0
  TTreeLazyTest Time:00.000 N:10 E:0 F:0 I:0
  TTreeHeightInvariantTest Time:00.000 N:7 E:0 F:0 I:0
  TTreeGetNodeAtOffsetTest Time:00.000 N:6 E:0 F:0 I:0
  TTreePerfTest Time:00.543 N:3 E:0 F:0 I:0
  TTreeC1Test Time:00.000 N:11 E:0 F:0 I:0
  TTreeC2Test Time:00.398 N:9 E:0 F:0 I:0
  TTreeC3PaintTest Time:00.611 N:4 E:0 F:0 I:0
  TTreeC4Test Time:00.000 N:12 E:0 F:0 I:0
  TTreeContentRectPaddingTest Time:00.093 N:1 E:0 F:0 I:0
